id,title,price,published,acreage,street,ward,district
0,"Cho thuê nhà trọ mới sạch đẹp tại Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân",2200000,2022-05-16,20.0,Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân
1,"Cho thuê phòng trọ giá rẻ ở mặt tiền hẻm lớn Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7",2500000,2022-04-20,20.0,487/35/25 Đường Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7
2,"Cho thuê phòng trọ kdc Nam Long-Trần Trọng Cung, Quận 7",3500000,2022-05-10,30.0,Đường 10,Phường Tân Thuận Đông,Quận 7
3,Phòng trọ giá rẻ ngay cổng khu chế xuất Tân Thuận Quận 7,1500000,2022-05-05,30.0,283/15 Huỳnh Tấn Phát,Phường Tân Thuận Đông,Quận 7
4,"Cho thuê phòng có gác, không gác, tolet riêng giá từ 3tr5 đến 4tr/tháng",3500000,2022-01-05,18.0,Lê Văn Sỹ,Phường 14,Quận Phú Nhuận
5,"Phòng cho thuê dành cho người đi làm, gần nhiều tiện ích",2200000,2020-11-05,15.0,174/15 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
6,"Cho thuê phòng ( nguyên tầng) ban công mặt tiền 4,5 triệu - 20 m 2",4500000,2022-03-10,20.0,311 Nguyễn Thiện Thuật,Phường 1,Quận 3
7,"PHÒNG ĐẸP MỚI XÂY,KHÔNG CHUNG CHỦ ,ĐƯỜNG AN DƯƠNG VƯƠNG",3000000,2022-07-19,16.0,Đường số 4,Phường 16,Quận 8
8,"Phòng 25m2 full tiện nghi Nguyễn Thiện Thuật, Q3 giá 4tr5/tháng.",4500000,2022-03-30,25.0,Phố Nguyễn Thiện Thuật,Phường 1,Quận 3
9,Chính chủ cho thuê phòng 18m2 tai Đặng Văn Ngữ P14 Q Phú Nhuận giá 3tr/tháng,3000000,2020-11-05,18.0,Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
10,Phòng trọ bao điện nước Quận 6,2500000,2016-01-05,14.0,69/4 Phạm Văn Chí,Phường 1,Quận 6
11,Phòng trọ Q4 - CÓ GÁC - FULL NỘI THẤT - sạch đẹp,4000000,2021-04-03,18.0,Số 13A Đường Tôn Thất Thuyết,Phường 18,Quận 4
12,KHU TRỌ MỚI XÂY DẠNG CHUNG CƯ MINI – QUẬN 4 (MỚI 100%),2700000,2020-12-10,16.0,B156/20 Đường Nguyễn Thần Hiến,Phường 18,Quận 4
13,"Còn 1 phòng trống quận 4, Giá 1tr3 + Ngày 04/10/2020 còn 1 phòng nhỏ 9m2 - 1 người ở cho nam thuê",1300000,2020-10-10,9.0,424/27 Đường Nguyễn Tất Thành,Phường 18,Quận 4
14,"Phòng trọ Q4 có gác FULL NỘI THẤT sạch, thoáng mát, an ninh",4500000,2021-04-03,23.0,13A Đường Tôn Thất Thuyết,Phường 18,Quận 4
15,"Phòng Máy Lạnh Cho ( NAM ) SV/NVVP thuê -phòng máy lạnh 24m2 sạch, đẹp, có thể ở 2 đến 3 người,",2500000,2021-01-14,24.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
16,Cho Thuê Phòng nhà mặt tiền đường Đoàn Văn Bơ,2000000,2021-01-18,20.0,667 Đường Đoàn Văn Bơ,Phường 18,Quận 4
17,"PHÒNG TRỌ Q4, CÓ GÁC LỬNG, MÁY LẠNH",3000000,2021-04-12,19.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
18,"Phòng Chung Cư Hoàng Anh Gia Lai 1, Gần ĐH TDT,RMIT, NTT, Phú Mỹ Hưng",4000000,2022-04-06,30.0,Đường Lê Văn Lương,Phường Tân Quy,Quận 7
19,"Cho thuê phòng nội thất cao cấp quận 7. Miễn phí dịch vụ ( rác, vệ sinh, wifi )",8000000,2022-04-12,35.0,Đường số 85,Phường Tân Quy,Quận 7
20,"Cho thuê phòng trọ Tân Quy, Đường số 7 giá thuê chỉ 3 Triệu/Tháng",3000000,2022-04-22,18.0,Đường số 79,Phường Tân Quy,Quận 7
21,Studio ban công cửa sổ Mai Văn Vĩnh đầy đủ nội thất mới xây 100%,3800000,2022-05-10,25.0,Phố số 49,Phường Tân Quy,Quận 7
22,"Phòng dịch vụ : 2tr2 gần Lotte Mart: máy lạnh, giường, thang máy",2200000,2022-05-10,18.0,34 Phố số 36,Phường Tân Quy,Quận 7
23,Phòng mới xây Quận 7 sát vách các trường Đại học,5000000,2022-04-14,25.0,Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7
24,"DomusHome Hệ Thống Duplex-Studio Ban Công, Cửa Sổ đường Nguyễn Thị Thập Q.7 Nội Thất cơ bản - Đầy Đủ Cạnh Sân Golf",5500000,2022-04-24,30.0,71 Đường số 53,Phường Tân Quy,Quận 7
25,Giá thuê Phòng mới keng ngay Mai Văn Vĩnh Quận 7,3700000,2022-04-22,25.0,Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7
26,"Cho thuê phòng tại hẻm 184 Đặng Văn Ngữ, P.14, Q.Phú Nhuận, giá 2,5tr/tháng. LH: Mr Dũng",2500000,2019-06-13,13.0,184/4 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
27,"(Ảnh thật) Phòng cho thuê Đặng Văn Ngữ, Phú Nhuận",3500000,2019-12-03,14.0,Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
28,"PHÒNG CAO CẤP FULL NỘI THẤT, MỚI XÂY, BAN CÔNG, NHIỀU CỬA SỔ, SÀN GỖ ĐẸP QUẬN PHÚ NHUẬN",7000000,2019-12-04,35.0,172/35 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
29,"Còn 1 phòng duy nhất đầy đủ nội thất như khách sạn tại 533/79 Huỳnh Văn Bánh, Phú Nhuận",5100000,2019-11-18,16.0,533/79 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
30,"Cho thuê phòng trọ 30m2, phòng mới sạch đẹp, Phú Nhuận",3500000,2019-10-08,30.0,529/136 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
31,PHÒNG FULL NỘI THẤT 28M2 LÊ VĂN SỸ,4700000,2019-08-18,28.0,339/21 Đường Lê Văn Sỹ,Phường 14,Quận Phú Nhuận
32,"Cho Nữ thuê phòng đẹp có ban công, Phú Nhuận",5000000,2019-12-24,25.0,452/8 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
33,"Cho thuê phòng trọ Phú Nhuận đầy đủ nội thất, sạch đẹp, an ninh, giờ tự do",5000000,2019-08-06,30.0,Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
34,CHO THUÊ PHÒNG SV NỮ Ở GHÉP Q.4- 3TR/THÁNG,3000000,2016-08-23,45.0,58/24/5 Tôn Thất Thuyết,Phường 18,Quận 4
35,Cho Thuê Phòng trọ đẹp giá rẻ bao điện nước internet hẻm an ninh. Có chỗ để xe,1500000,2018-04-20,15.0,671/7 Đường Đoàn Văn Bơ,Phường 18,Quận 4
36,"CHO SINH VIÊN THUÊ PHÒNG QUẬN 4, GẦN CÁC TRƯỜNG ĐẠI HỌC LUẬT, TÀI CHÍNH MARKETING, NGUYỄN TẤT THÀNH, TÔN ĐỨC THẮNG",3500000,2016-02-16,25.0,09 Tôn Thất Thuyết,Phường 18,Quận 4
37,"Cho thuê Phòng Trọ Cao Cấp hẻm 58 Tôn Thất Thuyết, Quận 4",3500000,2017-03-19,30.0,874/14/17 Đoàn Văn Bơ,Phường 18,Quận 4
38,Nhà mới phòng mới đẹp sach sẽ đầy đủ tiện nghi,3000000,2017-01-25,20.0,Đoàn Văn Bơ,Phường 18,Quận 4
40,"CHO THUÊ PHÒNG TRỌ MỚI XÂ, GIỜ GIẤC TỰ DO, CÓ KHOA VÂN TAY AN NINH - Quận 4",3500000,2017-03-22,40.0,Đoàn Văn Bơ,Phường 18,Quận 4
41,"Phòng trọ cho nhân viên văn phòng, sinh viên, hộ gia đình",4000000,2017-10-11,35.0,49 Đường Tôn Thất Thuyết,Phường 18,Quận 4
42,Cần cho sinh viên nữ thuê phòng,3000000,2019-06-12,20.0,Đường Nguyễn Thần Hiến,Phường 18,Quận 4
43,CHO THUÊ PHÒNG SINH VIÊN – NỮ CÔNG NHÂN,2000000,2018-11-02,8.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
44,"Cho thuê phòng trọ Quận 4, 878 Đoàn Văn Bơ 34m2",2100000,2018-11-22,34.0,Đường Đoàn Văn Bơ,Phường 18,Quận 4
45,PHÒNG 25M2 MỚI XÂY 100% - CÓ GÁC LỬNG - FULL TIỆN NGHI ĐƯỜNG NGUYỄN TẤT THÀNH - 4 TRIỆU/THÁNG,4000000,2019-01-04,25.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
46,"Phòng trọ full nội thất giá rẻ, ngay cầu Tân Thuận",4500000,2019-11-02,28.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
47,Phòng trọ MỚI XÂY có gác có máy lạnh,4500000,2019-05-16,32.0,Đường Tôn Thất Thuyết,Phường 18,Quận 4
48,PHÒNG 25M2 CÓ GÁC - ĐẦY ĐỦ TIỆN NGHI ĐƯỜNG TÔN THẤT THUYẾT - 4TR/THÁNG,4000000,2019-01-04,25.0,Đường Tôn Thất Thuyết,Phường 18,Quận 4
49,Phòng trọ cho nữ sinh viên hoặc nữ nhân viên văn phòng,3500000,2019-10-30,16.0,699 Đường Đoàn Văn Bơ,Phường 18,Quận 4
50,"Cho Thuê Phòng Tiện nghi cao cấp sạch sẽ, giá từ 2tr5-4tr5",4500000,2020-02-17,25.0,Số 18 Đường số 16,Phường 18,Quận 4
